,JSON Data
0,"{""ip"":""34.120.137.41"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Missouri"",""city_name"":""Kansas City"",""latitude"":39.09973,""longitude"":-94.57857,""zip_code"":""64101"",""time_zone"":""-05:00"",""asn"":""396982"",""as"":""Google LLC"",""is_proxy"":false}"
1,"{""ip"":""5.101.152.156"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""199406"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
2,"{""ip"":""5.35.226.73"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Koeln"",""latitude"":50.933346,""longitude"":6.94972,""zip_code"":""51147"",""time_zone"":""+01:00"",""asn"":""20773"",""as"":""Host Europe GmbH"",""is_proxy"":false}"
3,"{""ip"":""145.14.145.7"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
4,"{""ip"":""41.203.18.177"",""country_code"":""ZA"",""country_name"":""South Africa"",""region_name"":""Western Cape"",""city_name"":""Cape Town"",""latitude"":-33.925552,""longitude"":18.422857,""zip_code"":""8160"",""time_zone"":""+02:00"",""asn"":""37153"",""as"":""xneelo"",""is_proxy"":false}"
5,"{""ip"":""208.89.222.138"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Nevada"",""city_name"":""Las Vegas"",""latitude"":36.17497,""longitude"":-115.13722,""zip_code"":""89044"",""time_zone"":""-07:00"",""asn"":""62904"",""as"":""Eonix Corporation"",""is_proxy"":false}"
6,"{""ip"":""5.101.152.224"",""country_code"":""RU"",""country_name"":""Russian Federation"",""region_name"":""Sankt-Peterburg"",""city_name"":""Saint Petersburg"",""latitude"":59.89444,""longitude"":30.2642,""zip_code"":""199406"",""time_zone"":""+03:00"",""asn"":""198610"",""as"":""Beget LLC"",""is_proxy"":false}"
7,"{""ip"":""13.248.243.5"",""country_code"":""US"",""country_name"":""United States of America"",""region_name"":""Washington"",""city_name"":""Seattle"",""latitude"":47.6275,""longitude"":-122.3462,""zip_code"":""98109"",""time_zone"":""-07:00"",""asn"":""16509"",""as"":""Amazon.com Inc."",""is_proxy"":false}"
8,"{""ip"":""87.118.120.112"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Thuringen"",""city_name"":""Erfurt"",""latitude"":50.978941,""longitude"":11.032561,""zip_code"":""99084"",""time_zone"":""+01:00"",""asn"":""31103"",""as"":""Keyweb AG"",""is_proxy"":false}"
9,"{""ip"":""145.14.145.7"",""country_code"":""DE"",""country_name"":""Germany"",""region_name"":""Nordrhein-Westfalen"",""city_name"":""Calle"",""latitude"":51.33501,""longitude"":8.21362,""zip_code"":""59872"",""time_zone"":""+01:00"",""asn"":""204915"",""as"":""Hostinger International Limited"",""is_proxy"":false}"
